PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=0.457 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=0.338 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=0.487 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=0.520 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=0.566 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=0.379 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=0.570 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=0.893 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=0.861 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=0.561 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=1.41 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=1.78 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=1.52 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=1.85 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=2.08 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=1.96 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=5.03 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=2.20 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=0.890 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=0.834 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=0.740 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=0.516 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=0.933 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=0.488 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=0.454 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=0.691 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=1.27 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=2.01 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=2.42 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=1.59 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=2.00 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=0.815 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=0.693 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=0.544 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=0.721 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=0.875 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=0.623 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=1.01 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=0.912 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=0.389 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=0.462 ms
